Muetsra XRF,Año,Lote,Investigador,Fecha,Operación,Unidad,Material,Cantidad,Peso (gr),Artefacto,Notas Lab.,Num de Caja,Descripcion,Muetsra XRF,Muestra,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Rh,Mn(log10),Fe(log10),Zn(log10),Ga(log10),Th(log10),Rb(log10),Sr(log10),Y(log10),Zr(log10),Nb(log10)
PATT60,2013,8,,,17,J20,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,Fragmento de metate de superficie plana,PATT60,Patt60,858.00,69209.33,77.80,18.30,2.31,16.46,318.46,17.69,115.83,7.55,,2.933,4.840,1.891,1.262,0.364,1.216,2.503,1.248,2.064,0.878
PATT61,2013,8,,,17,J20,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,Fragmento de metate de superficie plana,PATT61,Patt61,632.28,31234.30,72.77,14.62,4.59,26.04,778.14,17.33,170.15,8.48,,2.801,4.495,1.862,1.165,0.662,1.416,2.891,1.239,2.231,0.928
PATT62,2013,8,,,17,J20,Basalto,1,,Lasca,Para analisis geoquimico,1,Lasca con forma circular,PATT62,Patt62,446.49,26433.99,46.55,15.14,8.99,70.71,274.59,22.49,126.43,7.45,,2.650,4.422,1.668,1.180,0.954,1.850,2.439,1.352,2.102,0.872
PATT63,2013,142,,,17,G22,Basalto,1,,Lasca,Para analisis geoquimico,2,Fragmento no identificado de pieza de basalto,PATT63,Patt63,366.99,25277.69,47.15,15.34,7.36,77.02,248.97,20.27,122.72,6.66,,2.565,4.403,1.673,1.186,0.867,1.887,2.396,1.307,2.089,0.823
PATT64,2013,1,,,17,K8,Basalto,1,,Lasca grande,Para analisis geoquimico,1,Fragmento de lasca/navaja,PATT64,Patt64,691.30,35042.55,67.09,20.60,6.01,60.48,301.05,21.62,136.58,6.83,,2.840,4.545,1.827,1.314,0.779,1.782,2.479,1.335,2.135,0.835
PATT65,2013,1,,,17,K8,Basalto,1,,Lasca grande,Para analisis geoquimico,1,Fragmento de lasca triangular de un basalto de color más claro,PATT65,Patt65,540.02,30298.29,45.70,17.22,8.72,73.93,258.72,22.18,126.22,7.72,,2.732,4.481,1.660,1.236,0.941,1.869,2.413,1.346,2.101,0.887
PATT66,2013,149,,,17,G22,Basalto,1,,Mortero-fragmento,Para analisis geoquimico,2,Fragmento de morterosin evidencia de soporte,PATT66,Patt66,915.92,44571.45,60.49,23.08,8.05,28.81,997.95,22.33,179.16,7.40,,2.962,4.649,1.782,1.363,0.906,1.460,2.999,1.349,2.253,0.869
PATT67,2013,79,,,17,H20,Basalto/riolita,1,,Mano de metate,Para analisis geoquimico,1,Mano de metate,PATT67,Patt67,252.41,37073.48,49.87,17.54,5.89,88.62,270.19,20.97,130.90,8.49,,2.402,4.569,1.698,1.244,0.770,1.948,2.432,1.322,2.117,0.929
PATT68,2013,47,,,17,J22,Basalto/riolita,1,,Fragmento de mano,Para analisis geoquimico,1,Fragmento de posible mano de mortero o metate,PATT68,Patt68,709.19,31223.37,85.56,16.30,10.78,51.57,515.82,24.16,166.11,11.79,,2.851,4.494,1.932,1.212,1.033,1.712,2.712,1.383,2.220,1.071
PATT69,2013,47,,,17,J22,Basalto,1,,Laja,Para analisis geoquimico,1,Fragmento de laja,PATT69,Patt69,994.61,50848.06,154.57,20.77,10.35,62.29,353.08,81.01,762.26,38.61,,2.998,4.706,2.189,1.317,1.015,1.794,2.548,1.909,2.882,1.587
PATT70,2013,47,,,17,J22,Basalto Vesicular,1,,Fragmento simi-circular,Para analisis geoquimico,1,Fragmento pequeño con forma circular,PATT70,Patt70,868.76,46529.60,87.17,17.50,6.49,40.68,350.44,24.56,156.49,8.36,,2.939,4.668,1.940,1.243,0.813,1.609,2.545,1.390,2.194,0.922
PATT71,2013,127,,,17,K22,Basalto Vesicular/Tezontle,1,,Cuenta,Para analisis geoquimico,2,fragmento de cuenta de basalto vesicular,PATT71,Patt71,1252.20,48863.49,69.95,18.96,2.90,27.08,416.98,21.22,137.91,7.60,,3.098,4.689,1.845,1.278,0.463,1.433,2.620,1.327,2.140,0.881
PATT72,2103,131,,,17,J21,Basalto,1,,Fragmento de basalto muy fino parecido a Alisador de canto de río,Para analisis geoquimico,2,Fragmento de basalto muy fino parecido a Alisador de canto de río,PATT72,Patt72,879.81,61163.38,82.18,18.71,4.33,18.82,391.42,18.89,128.38,5.30,,2.944,4.786,1.915,1.272,0.637,1.275,2.593,1.276,2.108,0.724
PATT73,2013,51,,,17,J16,Basalto,1,,Mortero-fragmento,Para analisis geoquimico,1,Fragmento de mortero con soporte,PATT73,Patt73,886.39,42597.74,69.99,20.89,7.10,33.07,316.49,21.72,167.96,7.37,,2.948,4.629,1.845,1.320,0.851,1.519,2.500,1.337,2.225,0.868
PATT74,2019,861,,,2,M11,Basalto Vesicular,1,,Alisador,Para analisis geoquimico,2,Alisador casi completo con agarradera,PATT74,Patt74,815.72,38392.35,78.07,15.62,4.28,34.07,487.66,17.66,120.29,3.38,,2.912,4.584,1.892,1.194,0.631,1.532,2.688,1.247,2.080,0.529
PATT75,2019,851,,,2,N11,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,Fragmento de metate de superficie plana,PATT75,Patt75,794.11,48069.89,89.47,17.99,3.10,25.09,452.50,22.44,163.42,9.60,,2.900,4.682,1.952,1.255,0.492,1.399,2.656,1.351,2.213,0.982
PATT76,2019,838,,,2,N11,Basalto,1,,Mano de metate,Para analisis geoquimico,1,Mano de metate,PATT76,Patt76,743.21,39758.63,85.85,20.85,6.93,31.60,604.23,17.57,165.63,6.68,,2.871,4.599,1.934,1.319,0.841,1.500,2.781,1.245,2.219,0.825
PATT77,2019,912,,,2,P14,Basalto,1,,Alisador,Para analisis geoquimico,2,Alisador o fragmento de mano de metate,PATT77,Patt77,866.86,46731.58,75.94,15.55,2.44,32.86,365.23,31.00,170.94,4.98,,2.938,4.670,1.880,1.192,0.387,1.517,2.563,1.491,2.233,0.698
PATT78,2019,882,,,2,N12,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,2,metate-fragmento de metate sin soportes,PATT78,Patt78,882.33,52991.05,91.22,18.43,0.03,29.91,470.02,25.72,207.29,12.00,,2.946,4.724,1.960,1.266,-1.456,1.476,2.672,1.410,2.317,1.079
PATT79,2019,713,,,4,Q20,Basalto,1,,Esfera,Para analisis geoquimico,1,Esfera completa,PATT79,Patt79,2507.93,59218.40,80.84,23.39,4.54,11.39,499.28,20.69,215.64,12.95,,3.399,4.772,1.908,1.369,0.657,1.057,2.698,1.316,2.334,1.112
PATT80,2019,820,,,4,"S21, S22",Basalto,1,,Mano de metate con extremo colgante,Para analisis geoquimico,1,Mano de metate con extremo colgante,PATT80,Patt80,909.57,49187.01,98.69,21.12,5.31,15.90,457.64,28.48,158.43,9.41,,2.959,4.692,1.994,1.325,0.725,1.202,2.661,1.455,2.200,0.974
PATT81,2019,700,,,4,T20,Basalto,1,,Mano de mortero,Para analisis geoquimico,1,Mano de mortero completo,PATT81,Patt81,749.08,43793.12,81.18,19.66,4.47,16.06,521.59,24.70,154.64,6.28,,2.875,4.641,1.909,1.293,0.650,1.206,2.717,1.393,2.189,0.798
PATT82,2019,792,,,4,Q23,Basalto,1,,Laja,Para analisis geoquimico,1,Laja con revestimiento de cal,PATT82,Patt82,530.33,26142.33,63.49,18.13,5.43,75.73,314.33,19.28,157.62,10.38,,2.725,4.417,1.803,1.258,0.735,1.879,2.497,1.285,2.198,1.016
PATT83,2019,713,,,4,Q20,Basalto,1,,Pulidor,Para analisis geoquimico,1,Pulidor,PATT83,Patt83,879.87,46913.80,102.22,22.95,8.35,28.11,827.26,21.00,125.84,6.61,,2.944,4.671,2.010,1.361,0.922,1.449,2.918,1.322,2.100,0.820
PATT84,2019,860,,,4,S23,Basalto,1,,Mano de metate,Para analisis geoquimico,2,Fragmento de mano de metate-Circular,PATT84,Patt84,1350.36,62276.30,79.72,21.56,3.20,16.96,401.01,32.85,209.32,13.51,,3.130,4.794,1.902,1.334,0.505,1.229,2.603,1.517,2.321,1.131
PATT85,2019,860,,,4,S23,Basalto,1,,Mano de metate,Para analisis geoquimico,Fragmento de mano de metate,Fragmento de mano de metate-ovalado,PATT85,Patt85,1166.41,66186.86,89.94,19.77,5.79,25.06,418.70,28.30,189.12,17.83,,3.067,4.821,1.954,1.296,0.763,1.399,2.622,1.452,2.277,1.251
PATT86,2019,874,,,4,"Q21, 22",Basalto,1,,Percutor/pulidor,Para analisis geoquimico,2,Percutor/pulidor,PATT86,Patt86,629.39,34381.65,54.27,12.07,7.07,93.34,254.72,83.44,123.14,9.73,,2.799,4.536,1.735,1.082,0.849,1.970,2.406,1.921,2.090,0.988
PATT87,2019,766,,,4,T20,Basalto,1,,Laja,Para analisis geoquimico,1,Laja fragmentada con recubrimiento de pintura roja,PATT87,Patt87,1013.26,29014.43,107.42,17.82,4.86,28.38,943.65,19.94,150.49,4.19,,3.006,4.463,2.031,1.251,0.687,1.453,2.975,1.300,2.177,0.623
PATT88,2019,707,,,4,R21,Basalto Vesicular,1,,Pulidor,Para analisis geoquimico,1,Pulidor,PATT88,Patt88,1069.52,58755.77,75.70,16.99,5.71,21.42,415.74,21.38,112.82,6.09,,3.029,4.769,1.879,1.230,0.756,1.331,2.619,1.330,2.052,0.784
PATT89,2019,808,,,4,O20,Basalto/Andesita,1,,Raspador/azada,Para analisis geoquimico,1,Raspador/azada de tamaño mediano,PATT89,Patt89,2843.10,47158.16,161.44,18.11,8.00,63.67,323.67,86.27,876.60,35.12,,3.454,4.674,2.208,1.258,0.903,1.804,2.510,1.936,2.943,1.546
PATT90,2019,723,,,4,S23,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,Fragmento de metate de superficie plana,PATT90,Patt90,1831.43,25637.68,46.85,14.71,5.02,28.17,902.12,20.14,143.50,7.51,,3.263,4.409,1.671,1.168,0.701,1.450,2.955,1.304,2.157,0.876
PPC01,2016,E16-0181,,,PPC-E,2c,Basalto,1,,Frag. Metate,Para analisis geoquimico,Lítica,Fragmento de metate con soporte,PPC01,PPC01,836.27,42541.08,86.27,19.12,4.51,31.27,489.46,23.81,178.27,9.01,,2.922,4.629,1.936,1.281,0.654,1.495,2.690,1.377,2.251,0.955
PPC02,2016,E16-0808,,,PPC-E,2b,Basalto,1,,"Basalto, Frag. Mano de Metate",Para analisis geoquimico,Lítica,Fragmento de mano de metate cuadrado,PPC02,PPC02,1126.65,54496.82,72.18,21.69,1.83,18.57,365.01,24.06,146.65,9.70,,3.052,4.736,1.858,1.336,0.264,1.269,2.562,1.381,2.166,0.987
PPC03,2016,E16-1688,,,PPC-E,5a,Basalto,1,,Piedra trabajada ,Para analisis geoquimico,Lítica,Alisador,PPC03,PPC03,857.51,40152.53,52.26,20.18,2.05,30.14,401.47,27.23,150.25,7.95,,2.933,4.604,1.718,1.305,0.313,1.479,2.604,1.435,2.177,0.900
PPC04,2016,E16-1712,,,PPC-E,6a,Basalto,1,,Piedra tallada,Para analisis geoquimico,Lítica,Fragmento de metate de superficie plana,PPC04,PPC04,380.31,23683.43,67.21,19.17,7.94,79.45,413.53,22.65,146.50,8.67,,2.580,4.374,1.827,1.283,0.900,1.900,2.617,1.355,2.166,0.938
PPC05,2017,E17-0152,,,PPC-E,2a,Basalto,1,,Piedra tallada ,Para analisis geoquimico,Litica ,Esfera completa,PPC05,PPC05,1048.33,46096.66,64.97,17.93,4.62,21.22,428.42,24.38,127.88,4.51,,3.020,4.664,1.813,1.254,0.664,1.327,2.632,1.387,2.107,0.654
PPC06,2017,E17-0376,,,PPC-E,6a,Basalto,1,,Piedra tallada ,Para analisis geoquimico,Litica ,Fragmento de mano de metate,PPC06,PPC06,668.31,35314.42,91.78,19.28,6.55,18.36,468.78,19.12,172.09,6.80,,2.825,4.548,1.963,1.285,0.817,1.264,2.671,1.282,2.236,0.833
PPC07,2017,E17-0376,,,PPC-E,6a,Basalto,1,,Piedra tallada ,Para analisis geoquimico,Litica ,Pulidor,PPC07,PPC07,624.60,17654.45,40.98,13.61,13.71,95.13,146.27,18.20,133.50,7.55,,2.796,4.247,1.613,1.134,1.137,1.978,2.165,1.260,2.125,0.878
PPC08,2017,E17-0817,,,PPC-E,I' - J',Basalto,1,,Piedra tallada,Para analisis geoquimico,Litica,Fragmento de metate con soporte,PPC08,PPC08,856.67,40837.74,80.44,19.66,4.25,24.38,398.13,19.14,142.26,5.95,,2.933,4.611,1.905,1.293,0.628,1.387,2.600,1.282,2.153,0.774
PPC09,2017,E17-0649,,,PPC-E,2b,Basalto,1,,Piedra tallada,Para analisis geoquimico,Litica,Piedra de Canto,PPC09,PPC09,727.48,33608.07,61.02,16.93,8.39,44.05,1036.92,20.59,155.02,7.38,,2.862,4.526,1.785,1.229,0.924,1.644,3.016,1.314,2.190,0.868
