Muetsra XRF,Año,Lote,Investigador,Fecha,Operación,Unidad,Material,Cantidad,Peso (gr),Artefacto,Notas Lab.,Num de Caja,Descripcion,Muetsra XRF,Muestra,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Rh,Mn(log10),Fe(log10),Zn(log10),Ga(log10),Th(log10),Rb(log10),Sr(log10),Y(log10),Zr(log10),Nb(log10)
PATT11.2,2014,513,,,18,K24,Basalto,1,,Mano de metate con extremo colgante,Para analisis geoquimico,3,Mano de metate con extremo colgante,"PATT11,PATT11.2",Patt11.2,800.81,28622.17,41.60,12.95,1.06,20.03,395.58,17.64,121.30,5.27,,2.904,4.457,1.619,1.112,0.024,1.302,2.597,1.246,2.084,0.722
PATT12,2014,593,,,18,I21,Basalto,1,,Pulidor,Para analisis geoquimico,3,Pulidor,"PATT12,PATT12.2",Patt12,818.63,33637.26,73.20,13.53,5.07,41.24,219.13,18.24,87.23,3.35,,2.913,4.527,1.864,1.131,0.705,1.615,2.341,1.261,1.941,0.525
PATT12.2,2014,593,,,18,I21,Basalto,1,,Pulidor,Para analisis geoquimico,3,Pulidor,"PATT12,PATT12.2",Patt12.2,595.72,27797.33,55.72,16.28,6.11,61.09,261.05,19.55,133.06,8.10,,2.775,4.444,1.746,1.212,0.786,1.786,2.417,1.291,2.124,0.908
PATT13,2014,373,,,18,N21,Basalto Vesicular/Tezontle,1,,Mano de mortero,Para analisis geoquimico,2,Mano de mortero completo,"PATT13,PATT13.2",Patt13,613.78,35449.22,61.54,11.87,6.98,22.03,341.95,16.35,115.41,5.33,,2.788,4.550,1.789,1.074,0.844,1.343,2.534,1.214,2.062,0.727
PATT13.2,2014,373,,,18,N21,Basalto Vesicular/Tezontle,1,,Mano de mortero,Para analisis geoquimico,2,Mano de mortero completo,"PATT13,PATT13.2",Patt13.2,617.45,32789.29,45.82,16.12,5.03,21.52,434.53,22.14,166.31,4.37,,2.791,4.516,1.661,1.207,0.702,1.333,2.638,1.345,2.221,0.640
PATT14,2014,301,,,18,NE,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,metate-fragmento de metate,"PATT14,PATT14.2",Patt14,468.70,24940.84,52.72,13.91,6.99,23.11,630.17,14.21,71.88,3.99,,2.671,4.397,1.722,1.143,0.844,1.364,2.799,1.152,1.857,0.602
PATT14.2,2014,301,,,18,NE,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,metate-fragmento de metate,"PATT14,PATT14.2",Patt14.2,388.21,31234.00,46.81,14.30,7.15,26.14,783.02,17.93,132.28,7.60,,2.589,4.495,1.670,1.155,0.855,1.417,2.894,1.254,2.122,0.881
PATT15,2014,301,,,18,NE,Basalto,1,,Mano de metate con extremo colgante,Para analisis geoquimico,1,Fragmento de mano de metate con extremo colgante,"PATT15,PATT15.2",Patt15,468.70,24940.84,52.72,13.91,6.99,23.11,630.17,14.21,71.88,3.99,,2.671,4.397,1.722,1.143,0.844,1.364,2.799,1.152,1.857,0.602
PATT15.2,2014,301,,,18,NE,Basalto,1,,Mano de metate con extremo colgante,Para analisis geoquimico,1,Fragmento de mano de metate con extremo colgante,"PATT15,PATT15.2",Patt15.2,680.67,35796.14,73.86,15.83,3.77,21.15,393.70,23.06,147.57,7.28,,2.833,4.554,1.868,1.199,0.576,1.325,2.595,1.363,2.169,0.862
PATT16,2014,319,,,18,N22,Basalto,1,,Mano de metate,Para analisis geoquimico,1,Mano de metate,PATT16-Comienza analisis a 200segundos,Patt16,607.52,39498.75,72.43,17.35,3.46,25.03,461.92,22.08,167.56,6.25,,2.784,4.597,1.860,1.239,0.539,1.398,2.665,1.344,2.224,0.796
PATT16.2,2014,319,,,18,N22,Basalto,1,,Mano de metate,Para analisis geoquimico,1,Mano de metate,PATT16-Comienza analisis a 200segundos,Patt16.2,631.42,32228.84,65.07,19.66,5.52,20.89,388.50,21.01,160.86,6.58,,2.800,4.508,1.813,1.294,0.742,1.320,2.589,1.322,2.206,0.818
PATT17,2014,318,,,18,N21,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,1,"posible fragmento de metate plano, reciclado",PATT17,Patt17,1484.68,58534.19,132.06,20.29,4.85,51.25,359.37,59.47,583.01,33.07,,3.172,4.767,2.121,1.307,0.686,1.710,2.556,1.774,2.766,1.519
PATT18,2014,318,,,18,N21,Basalto Vesicular,2,,Mortero-fragmento,Para analisis geoquimico,1,fragmentos de morteros,PATT18,Patt18,476.45,27834.79,54.61,17.94,6.19,38.49,311.14,22.65,180.41,7.38,,2.678,4.445,1.737,1.254,0.792,1.585,2.493,1.355,2.256,0.868
PATT19,2014,357,,,18,L21,Basalto,1,,Mano de metate,Para analisis geoquimico,2,Mano de metate cuadrado,PATT19,Patt19,668.67,29410.01,64.45,12.86,7.72,54.54,257.57,27.08,149.34,6.98,,2.825,4.468,1.809,1.109,0.888,1.737,2.411,1.433,2.174,0.844
PATT19.2,2014,357,,,18,L21,Basalto,1,,Mano de metate,Para analisis geoquimico,2,Mano de metate cuadrado,PATT19,Patt19,406.59,18933.69,29.14,11.94,4.53,33.87,207.00,31.39,115.21,12.19,,2.609,4.277,1.464,1.077,0.656,1.530,2.316,1.497,2.061,1.086
